,brand,current_price,old_price,discount,description,ratings,times_reviewed,ROM,RAM,mAh,camera,total_camera,screen_size(inch),star
297,Elephone,38990,100000,61,A6 Mini 5.71 Inch Waterdrop Screen Mobile Phone Android 9.0 HD+ 4GB RAM 64GB 16MP 3180mah 4G Smartphone,80,3,64.0,4.0,3180.0,16MP,16.0,5.71,4.0
298,Sony,45900,62900,27,"Xperia Z5 Compact E5823 2GB+32GB Android Quad-Core 4.6"" 23.0MP GSM Refurbished Mobile Phone(Black)",80,1,32.0,2.0,,23.0MP,23.0,4.6,4.0
299,Gionee,50400,50400,0,S8s 5.86-Inch (32GB ROM + 3GB RAM) 4G LTE Selfie 3000mAh Smartphone - Gold,90,2,32.0,3.0,3000.0,,21.0,5.86,4.5
300,XIAOMI,86940,173880,50,MI (Mi) Redmi Note5 4GB RAM +64GB ROM 5.99Inch AI Android MIUI Dual SIM 4G Smartphone-Rose Gold,94,12,64.0,4.0,,,21.0,5.99,5.0
301,LG,29999,52745,43,Smart Phone， LG G4 4G LTE H815 Mobile Phone Hexa Core 5.5 Inch 16.0MP Camera 3GB+32GB-Black,100,2,32.0,3.0,,16.0MP,16.0,5.5,5.0
302,Letv Leeco,54990,94195,42,Letv LeTV LeEco Le 2 X520 5.5'' (3GB+64GB ROM) Snapdragon 652 1.8GHz Octa Core 4G Smartphone,90,2,64.0,3.0,,,21.0,5.5,4.5
303,LG,89900,89900,0,"G6 5.7"" (4GB , 64GB) Android 7 , 13MP, 4G Single SIM - Blue",90,2,64.0,4.0,,13MP,13.0,5.7,4.5
304,Sharp,65000,65000,0,Global Version R1S 5.5 Inch HD IPS MTK6750 Octa Core 3GB RAM 32GB ROM -Gold,89,12,32.0,3.0,,,21.0,5.5,4.5
305,Cubot,29180,37934,23,"R9 - 3G Phablet - 5.0"" 13MP+5MP With Front Flash (2GB, 16GB ROM) Android 7.0 Fingerprint - Blue",70,2,16.0,2.0,,13MP+5MP,18.0,5.0,3.5
306,LG,26500,60000,56,Android Smartphone LG G4 4G LTE H815 Mobile Phone Hexa Core 5.5 Inch 16.0MP Camera 3GB+32GB-leather Browm,60,1,32.0,3.0,,16.0MP,16.0,5.5,3.0
307,Oppo,89000,89000,0,A57 5.2 Inch 3GB 32GB (Expandable Up To 256GB) Android 6.0 Qualcomm Octa-core Black,80,1,32.0,3.0,,,21.0,5.2,4.0
308,Letv,42490,50988,17,Le X526 4G Phablet 5.5 Inch Android 6.0 Snapdragon 652 Octa Core 1.8GHz 3GB RAM 64GB ROM-Gold,100,3,64.0,3.0,,,21.0,5.5,5.0
309,XIAOMI,51990,51990,0,"Redmi Note 3 5.5-Inch (2GB,16GB ROM), 16MP + 5MP Dual SIM 4G Smartphone - Golden",70,4,16.0,2.0,,16MP+5MP,21.0,5.5,3.5
310,Samsung,160000,160000,0,"Galaxy S8 5.8-Inch QHD (4GB,64GB ROM) Android 7.0 Nougat, 12MP + 8MP Dual SIM LTE - Maple Gold",100,1,64.0,4.0,,12MP+8MP,20.0,5.8,5.0
311,Samsung,250000,250000,0,Samsung Galaxy S9 Plus Black,25,4,32.0,4.0,,,21.0,6.0,1.5
312,Nokia,500,0,28,2700C 2700 Classic Mobile Phone GSM 2MP FM Mp3 Player Cheap Phone Free Shippping,100,1,32.0,4.0,,2MP,2.0,6.0,5.0
313,Gionee,99000,99000,0,"M6 Plus 6” FHD  (4GB,64GB) Android , 16MP+8MP Dual SIM 4G LTE Smartphone 6,020mAh - Gold",80,1,64.0,4.0,20.0,16MP+8MP,24.0,6.0,4.0
314,Gionee,99990,99990,0,M6 5.5'HD 4G RAM+64G ROM 13MP 8MP Camera 5000mAh Battery Android OS 4G Smartphone,20,1,64.0,4.0,5000.0,13MP+8MP,21.0,5.5,1.0
315,Sharp,42000,42000,0,R1 5.2 Inch HD 2.5D Curved Glass 3GB RAM 32GB ROM 13MP+8MP Android 7.0 4G Smartphone 4000mAh,94,3,32.0,3.0,4000.0,13MP+8MP,21.0,5.2,5.0
316,Nokia,89999,89999,0,X5 5.86 Inch HD+ 4GB RAM 64GB ROM 13MP + 8MP Android 8.1 4G LTE Smartphone Dual Sim  - Black,92,5,64.0,4.0,,13MP+8MP,21.0,5.86,5.0
318,Sony,42500,68167,38,Xperia Z5 E6653 Single SIM Phone 3GB 32GB GSM WCDMA 4G LTE Octa Core 5.2 Inch 23MP Camera Smartphone(Gold),20,1,32.0,3.0,,23MP,23.0,5.2,1.0
319,Gionee,89900,89900,0,"S10 5.5” FHD  (6GB,64GB) Android 7.1, 20MP+16MP Dual SIM 4G LTE Smartphone 3,450mAh - Gold",80,1,64.0,6.0,450.0,20MP+16MP,36.0,6.0,4.0
320,LG,89900,89900,0,"G6 5.7"" (4GB , 64GB) 4G Single SIM ,Android 7 , 13MP - Black",88,8,64.0,4.0,,13MP,13.0,5.7,4.5
321,Huawei,69000,69000,0,Honor 7A 2GB 32GB 4G LTE Mobilephone Face ID 5.7inch 13MP 3000mAh Android Smartphone-Black,60,1,32.0,2.0,3000.0,13MP,13.0,5.7,3.0
322,Tecno,75399,90000,16,"Camon 12 PRO (CC9) 6.4-Inch HD (6GB RAM, 64GB ROM) Android™ 9 Pie, (16MP+8MP+2MP)+32MP, Dual SIM 4G LTE Smartphone- Dawn Blue",90,2,64.0,6.0,,16MP+8MP+2MP+32MP,58.0,6.4,4.5
323,Vernee,27100,32500,17,4G Smartphone Android 7.0 5.2 Inch MTK6750 Octa Core 1.5GHz 4GB RAM 64GB ROM,80,3,64.0,4.0,,,21.0,5.2,4.0
324,LG,69999,69999,0,G5 H820 5.3'' 4GB+32GB Snapdragon Quad Core 16.0MP LTE IPS 1080P Single SIM - Gold,80,1,32.0,4.0,,16.0MP,16.0,5.3,4.0
325,Lenovo,35999,47242,24,A5s 4G 5.45 Inch (2GB RAM 16GB ROM) 3000mAh Battery Android P-BLACK,80,1,16.0,2.0,3000.0,,21.0,5.45,4.0
326,Leagoo,68000,68000,0,POWER 2 Pro 2GB+16GB Dual Back Cameras 4000mAh Battery 5.2 Inch Android 8.1 4G Smartphone,80,1,16.0,2.0,4000.0,,21.0,5.2,4.0
327,Alcatel,49900,52000,4,"Pop 4 - 5 Inch, 4G LTE Android Smartphone",100,1,32.0,4.0,,,21.0,5.0,5.0
328,Htc,85000,85000,0,Desire  826W 5.5 Inch FHD Cell Phone Snapdragon 615 Quad Core 3GB 32GB Smartphone-White,100,1,32.0,3.0,,,21.0,5.5,5.0
329,Nokia,10800,19000,43,C5-00 5MP Warm Grey Quadband-Handy Cell Phone GSM 3G 3MP FM GPS Bluetooth,80,2,32.0,4.0,,5MP+3MP,8.0,6.0,4.0
330,Htc,105000,105000,0,"U Ultra Dual Sim 5.7"" (4GB. 64GB) - 12MP Camera - Ice White",80,1,64.0,4.0,,12MP,12.0,5.7,4.0
331,Huawei,68999,113899,39,"Smartwatch，Y7 Pro (2019) 6.26-Inch(3GB, 32GB ROM) Android 8.1 Oreo (13MP + 2MP)+16MP Dual SIM 4G Smartphone-Blue",74,3,32.0,3.0,,13MP+2MP+16MP,31.0,6.26,4.0
332,Oppo,79073,88000,10,"Realme Q 4GB+64GB 6.3"" 48MP Quad Cameras Snapdragon 712 Octa Core 20W QC VOOC 3.0 4035mAh-Blue",100,1,64.0,4.0,4035.0,48MP,48.0,6.3,5.0
333,XIAOMI,85398,91899,7,"Xiaomi Redmi Note 7 6GB+64GB ROM 6.3"" Octa Core 48MP+5MP 13MP Face&Fingerprint ID Quick Charge 4000mAh-White",100,1,64.0,6.0,4000.0,48MP+5MP+13MP,66.0,6.3,5.0
334,Blackview,139000,216914,36,"BV9600 Pro 6GB+128GB 5580mAh Battery 6.21"" Android 8.1 4G Smartphone",60,1,128.0,6.0,5580.0,,21.0,6.21,3.0
335,Huawei,54000,54000,0,"Y6 Prime (2019) 6.09-Inch HD+ DewDrop (2GB RAM, 32GB ROM) Android 9.0 Pie, 13MP + 8MP Dual SIM 4G LTE Smartphone - Sapphire Blue ",56,4,32.0,2.0,,13MP+8MP,21.0,6.09,3.0
336,Nokia,130000,130000,0,"Nokia 7.2, 6.3-Inch LCD (6GB RAM, 128GB ROM) Android 9.0, (48MP + 8MP + 5MP)+20MP, Dual SIM 4G Smartphone - Cyan Green",80,1,128.0,6.0,,48MP+8MP+5MP+20MP,81.0,6.3,4.0
337,Samsung,530000,530000,0,Galaxy S20 Ultra 6.9-Inch (12GB 128GB ROM) Android 10.0 (108MP + 48MP + 12MP + 0.3MP)+(40MP) Dual SIM 4G - Cosmic Black,100,1,128.0,12.0,,108MP+48MP+12MP+0.3MP+40MP,211.0,6.9,5.0
338,Samsung,69999,69999,0,"Galaxy M20 6.3-Inch Infinity FHD+ (3GB, 32GB ROM)  Android 8.1 (Oreo); Experience 9.5 (13MP + 5MP) + 8MP Dual SIM 4G Fingerprint & Face ID Smartphone - Charcoal Black",86,56,32.0,3.0,,13MP+5MP+8MP,26.0,6.3,4.5
339,Huawei,82999,85999,3,Enjoy 8e Dual Rear Camera 5.7 Inch 3GB RAM 32GB ROM Snapdragon 430 Octa Core 4G Smartphone,40,1,32.0,3.0,,,21.0,5.7,2.0
340,Samsung,75000,200000,63,Galaxy Note 5 (Single SIM) 4GB+32GB ROM 5.7'' Screen - Blue,40,1,32.0,4.0,,,21.0,5.7,2.0
